Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,CoinedWord,Sender_Title,Closing_Remarks,Sender_Email,Label
URGENT REQUEST,"Are you available ?
No calls text only 9513072XXX",2020-01-09,1.41pm,tue,,Urgent,"Chancellor
berkeley university of california",Best regards,Cchristberkeley.edugmail.com,0.0
Quick question,I'm in a meeting and need help getting some Amazon Gift Cards,2020-01-09,1.41pm,tue,,Quick,"University of california, berkeley",No data provided,Xxx.subdomain.berkeley.edu,0.0
******Part time home work assistant needed******,"Hello RECIPIENT

I am urgently seeking for a Clerical/Administrative Assistant to 
work for me on campus at their own free time while I am away on my work and 
earn basic wage $250 weekly.This is a flexible job that requires little to 
no prior experience .Let me know you are interested and I will fill you in.",2020-01-09,2:22 PM, Sat,,Job/Needed,"Professor david card
department of economics
530 evans hall 3880
university of california berkeley
berkeley, ca",Sincerely,Dvdmson  gmail . com,0.0
Ã vendor payment,Are you around? I need to pay a vendor with the blucard.,2020-01-09,1.41pm,tue,http://example.com/PHISHING_TEST/row3,"gift card, meeting","University of california, berkeley",No data provided,Xxx.subdomain.berkeley.edugmail.com,1.0
  Quick question,I'm in a meeting and need help getting some Amazon Gift Cards,2020-01-09,1.41pm,tue,http://example.com/PHISHING_TEST/row4,shared,"University of california, berkeley",No data provided,Xxx.subdomain.berkeley.edu,1.0
ÃXXX has shared a document on Google Docs with you,XXX has invited you to view the following document:,2020-01-09,1.41pm,tue,http://example.com/PHISHING_TEST/row5,"invite, share",No data provided,No data provided,Xxxberkeley.edu,1.0
Message from human resources,"Dear XXXXX@berkeley.edu(link sends e-mail)

An information document has been sent to you by the Human Resources Department.

Click here to Login to view the document.  Thank you!",2020-01-09,9:29:54 PM PDT,tue,click here,HR,"Berkeley university of california hr department
 2017 the regents of the university of california.  all rights reserved.",Thank you,Hrberkeley.edu,0.0
Library Account,"Dear Student,

Your access to your library account is expiring soon due to inactivity. To
continue to have access to the library services, you must reactivate your
account. For this purpose, click the web address below or copy and paste it
into your web browser. A successful login will activate your account and
you will be redirected to your library profile.

https://auth.berkeley.edu/cas/login?service=https%3a%2f%


If you are not able to login, please contact <Name Removed> at
xxxxx@berkeley.edu (link sends e-mail) for immediate assistance.",2017-04-01,2:09 PM,Sat,http://example.com/PHISHING_TEST/row7,"expiring soon, inactivity, ","University library
university of california berkeley","Sincerely,",No data provided,1.0
Your Dropbox File,"Hello,
 
You just received a file through Dropbox Share Application.
Please click below and log in to view file.
 
View file
 
Every time a friend installs Dropbox, we'll give both of you 1 GB of
space for free! Need even more space? Upgrade your Dropbox and get 1 TB
(1,000 GB) of space",2020-01-09,1.41pm,Mon,view file,"file, dropbox",The dropbox team,Happy dropboxing.,Sasstamhsc.edulink sends email,0.0
,"Dear User,

This message is to inform you that your access to bCourses will soon expire. You will have to login to your account to continue to have access to this service.
You need to reactivate it just by logging in through the following URL. A successful login will activate your account and you will be redirected to your bCourses page.

http:/bcourses.berkeley.edu/login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm/

If you are not able to login, please contact Danielle Patel at dapatel@berkeley.edu(link sends e-mail) for immediate assistance.",2020-01-09,1.41pm,tue,URL,"expire, login, reactive","Berkeley security
university of california, berkeley
5106436957","Sincerely,",Dapatelberkeley.edu,0.0
